id,name
0,郭台銘
1,總統
2,鴻海
3,台灣
4,國民黨
5,郭董
6,韓國瑜
7,初選
8,中國
9,經濟
10,參選
11,2019
12,民調
13,董事長
14,支持
15,美國
16,蔡英文
17,市長
18,未來
19,報導
20,蘋果
21,川普
22,集團
23,民進黨
24,政治
25,高雄
26,民主
27,台北
28,宣布
29,公司
30,投資
31,黨內
32,企業
33,2020
34,媒體
35,徵召
36,政府
37,國家
38,參加
39,賴清德
40,選舉
41,當選
42,臉書
43,年輕人
44,中華民國
45,發展
46,朱立倫
47,國際
48,提名
49,王金平
50,和平
51,科技
52,投入
53,百分點
54,分析
55,表態
56,參選人
57,主席
58,柯文哲
59,外界
60,社會
61,代表
62,吳敦義
63,韓粉
64,指出
65,候選人
66,媽祖
67,回應
68,股票
69,院長
70,機會
71,選民
72,員工
73,記者
74,影響
75,手機
76,支持度
77,透露
78,雲林
79,議題
80,大學
81,台幣
82,政策
83,富士康
84,兩岸
85,經營
86,會面
87,黨員
88,人選
89,白宮
90,採訪
91,人民
92,產業
93,藍營
94,針對
95,媽媽
96,網友
97,黨
98,出席
99,民眾
100,成功
101,透過
102,總統大選
103,工作
104,地方
105,制度
106,國防
107,競選
108,權力
109,參與
110,領先
111,黨中央
112,去年
113,立委
114,股東
115,挺
116,網路
117,說法
118,質疑
119,大陸
120,市場
121,財產
122,薪資
123,引發
124,全球
125,共識
126,利益
127,投票
128,計劃
129,日本
130,生產
131,印度
132,合作
133,批評
134,威州
135,納入
136,大選
137,北京
138,全民
139,財經
140,立法院
141,面對
142,總裁
143,中共
144,改變
145,創業
146,九二
147,支持者
148,安排
149,行政院
150,協調
151,挑戰
152,尊重
153,意願
154,團隊
155,翻轉
156,藍綠
157,股價
158,討論
159,麥
160,發表
161,製造
162,工廠
163,中常會
164,技術
165,事業
166,近期
167,青年
168,推動
169,教育
170,辯論
171,2016
172,世界
173,企業家
174,首富
175,高雄市
176,國旗
177,教授
178,曾馨瑩
179,策略
180,經驗
181,適合
182,戰略
183,環保
184,競爭
185,形象
186,決策
187,服務
188,政黨
189,座談
190,訪問
191,創造
192,霸氣
193,正式
194,馬英九
195,商港
196,最新
197,價值
198,數據
199,選戰
200,聲明
201,議員
202,上市
203,公布
204,加薪
205,考量
206,角逐
207,承諾
208,治理
209,格力電器
210,發現
211,態度
212,關注
213,工業
214,內部
215,內閣制
216,比率
217,主動
218,半導體
219,台商
220,先前
221,年輕
222,行政院長
223,接班
224,習近平
225,提案
226,提問
227,貿易戰
228,蔡正元
229,整合
230,人民幣
231,加碼
232,攻擊
233,角色
234,建議
235,研發
236,託夢
237,基層
238,接地氣
239,產業鏈
240,期待
241,意見
242,新聞
243,當飯吃
244,管理
245,模式
246,澄清
247,關鍵
248,AI
249,口號
250,目標
251,身家
252,呼籲
253,思考
254,能力
255,財富
256,專訪
257,產品
258,發大財
259,超過
260,當地
261,解決
262,辦公室
263,優勢
264,癌症
265,總經理
266,舉辦
267,轉型
268,雞排
269,舔盤子
